surface_m2,lien_site_parcours_bd,adres,dessinateur,commune_gemeente,adresse,naam_fresco_nl,date,nom_de_la_fresque,realisateur,link_site_striproute,image,maison_d_edition,coordonnees_geographiques
115.0,https://www.parcoursbd.brussels/fresques/spirou/,Onze-Lieve-Vrouw van Gratiestraat 3 - 1000 Brussel,Yoann et Velhman,Bruxelles - Brussel,Rue Notre Dames des Grâces 3 - 1000 Bruxelles,Robbedoes,2014,Spirou,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/spirou/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/53_spirou_rue_notre_dame_graces_04_vb-768x512.jpg,Dupuis,"[50.838115660227984, 4.350488933554493]"
63.0,https://www.parcoursbd.brussels/fresques/froud-stouf/,Maurice Lemonnierlaan 32 - 1000 Brussel,Janin et Liberski,Bruxelles - Brussel,Bd Maurice Lemonnier 32 - 1000 Bruxelles,Froud & Stouf,2014,Froud & Stouf,Farmprod,https://www.parcoursbd.brussels/nl/stripmuren/froud-stouf/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/56_froud_stouf_bd_lemonnier_01_vb-683x1024.jpg,-,"[50.844079918651055, 4.345563703791601]"
42.0,https://www.parcoursbd.brussels/fresques/jommeke/,Lokvogelstraat 3 - 1020 Laken,Jeff Nys,Laeken - Laken,Rue de la Chanterelle 3 - 1020 Laeken,Jommeke,2014,Jommeke,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/jommeke/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/57_jommeke_rue_chanterelle_02-768x512.jpg,Dupuis,"[50.8746940743036, 4.348336275352141]"
31.3,https://www.parcoursbd.brussels/fresques/in-my-area/,Kartuizersstraat 39 - 1000 Brussel,Lucy McKenzie,Bruxelles - Brussel,Rue des Chartreux 39 - 1000 Bruxelles,In my area,2017,In my area,Farmprod,https://www.parcoursbd.brussels/nl/stripmuren/in-my-area/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/63_in-_my_area_rue_chartreux_01-768x1024.jpeg,WIELS,"[50.8486693022412, 4.345158359718495]"
416.4,https://www.parcoursbd.brussels/fresques/jardin-aux-fleurs/,Grootsermentstraat - 1000 Brussel,Brecht Evens,Bruxelles - Brussel,Rue du Grand Serment - 1000 Bruxelles,Bloemenhof,2017,Jardin aux fleurs,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/jardin-aux-fleurs/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/64_jardin_fleurs_rue_grand_serment_05-768x1155.jpg,-,"[50.85045918426709, 4.341626215147022]"
21.7,https://www.parcoursbd.brussels/fresques/leleve-ducobu/,Zespenningenstraat 25 - 1000 Brussel,Bernard Godi,Bruxelles - Brussel,Rue des Six Jetons 25 - 1000 Bruxelles,Dokus de leerling,2018,Lélève Ducobu,Atelier30,https://www.parcoursbd.brussels/nl/stripmuren/leleve-ducobu/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/65_ducobu_rue_six_jetons_01-768x1175.jpg,Le Lombard,"[50.84659448360649, 4.34512083659673]"
270.5,https://www.parcoursbd.brussels/fresques/la-voie-lactee/,Sallaertstraat - tunnel - 1000 Brussel,Mathilde Vangheluwe,Bruxelles - Brussel,Rue Sallaert - tunnel - 1000 Bruxelles,De melkweg,2019,La voie lactée,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/la-voie-lactee/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/68_voie_lactee_tunnel_sallaert_03-768x511.jpg,-,"[50.83947199068934, 4.342596365734469]"
262.0,https://www.parcoursbd.brussels/fresques/le-petit-gilet/,Frederic Bassestraat - tunnel - 1000 Brussel,Aurélie William Levaux,Bruxelles - Brussel,Rue Basse - tunnel - 1000 Bruxelles,Het kleine vest,2019,Le petit gilet,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/le-petit-gilet/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/70_petit_gilet_tunnel_basse_04-768x511.jpg,-,"[50.83919871245384, 4.342035033825081]"
95.0,https://www.parcoursbd.brussels/fresques/yasmina/,Verdunstraat 560 - 1130 Haren,Wauter Mannaert,Haren,Rue de Verdun 560 - 1130 Haren,Yasmina,2020,Yasmina,Farmprod,https://www.parcoursbd.brussels/nl/stripmuren/yasmina/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/75_yasmina_rue_verdun_03-768x1024.jpeg,Dargaud,"[50.895995083340104, 4.421027488987514]"
137.0,https://www.parcoursbd.brussels/fresques/apres-midi-place-bockstael/,Laneaustraat 1 - 1020 Laken,Elodie Shanta,Laeken - Laken,Rue Laneau 1 - 1020 Laeken,s Namiddags aan het Bockstaelplein,2021,Après-midi place Bockstael,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/apres-midi-place-bockstael/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/77_apres_midi_pl_bockstael_04-768x576.jpeg,La Pastèque - Biscotto - Milan,"[50.877146276947855, 4.346598827303759]"
