surface_m2,lien_site_parcours_bd,adres,dessinateur,commune_gemeente,adresse,naam_fresco_nl,date,nom_de_la_fresque,realisateur,link_site_striproute,image,maison_d_edition,coordonnees_geographiques
75.0,https://www.parcoursbd.brussels/fresques/jours-de-sable/,Sint-Nikolaasplein 14 - 1120 Neder-Over-Heembeek,Aimée de Jongh,Neder-Over-Heembeek,Place Saint-Nicolas 14 - 1120 Neder-Over-Heembeek,Dagen van zand,2022,Jours de sable,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/7374/,https://www.parcoursbd.brussels/wp-content/uploads/2022/10/20221123_104925-768x355.jpg,Dargaud-Lombard,"[50.89361998488024, 4.385780138550252]"
35.0,https://www.parcoursbd.brussels/fresques/le-scorpion/,Treurenberg 14 - 1000 Brussel,Marini et Desberg,Bruxelles - Brussel,Rue du Treurenberg 14 - 1000 Bruxelles,De Schorpioen,2002,Le Scorpion,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/le-scorpion/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/03_scorpion_rue_treurenberg_001-715x1024.jpg,Dargaud,"[50.84768517978514, 4.361809680843012]"
35.0,https://www.parcoursbd.brussels/fresques/cubitus/,Vlaamsesteenweg 109 - 1000 Brussel,Dupa,Bruxelles - Brussel,Rue de Flandre 109 - 1000 Bruxelles,Dommel,1994,Cubitus,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/cubitus/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/07_cubitus_rue_flandre_02_vb-685x1024.jpg,Le Lombard,"[50.852962733115405, 4.345309204756646]"
59.2,https://www.parcoursbd.brussels/fresques/les-aventures-de-blake-mortimer/,Tempelstraat 6 - 1000 Brussel,Edgar P. Jacobs,Bruxelles - Brussel,Rue du Temple 6 - 1000 Bruxelles,Blake en Mortimer,2021,Blake & Mortimer,Atelier30,https://www.parcoursbd.brussels/nl/stripmuren/les-aventures-de-blake-mortimer/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/08_blake_mortimer_rue_temple_01-768x1024.jpeg,Dargaud,"[50.83988437098996, 4.351304177138129]"
40.0,https://www.parcoursbd.brussels/fresques/neron/,Sint-Goriksplein 20 - 1000 Brussel,Marc Sleen,Bruxelles - Brussel,Place Saint-Géry 20 - 1000 Bruxelles,Nero,1995,Néron,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/neron/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/10_neron_pl_saint_gery_03-768x1024.jpeg,Standaard,"[50.847851252780174, 4.346852123096664]"
150.0,https://www.parcoursbd.brussels/fresques/caroline-baldwin/,Ninoofseplein 10 - 1000 Brussel,André Taymans et Wesel,Bruxelles - Brussel,Place de Ninove 10 - 1000 Bruxelles,Caroline Baldwin,2003,Caroline Baldwin,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/caroline-baldwin/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/13_caroline_baldwin_rue_poudriere_01_vb-768x514.jpg,Casterman,"[50.84889610134314, 4.338760815858103]"
180.0,https://www.parcoursbd.brussels/fresques/lucky-luke/,T'Kintstraat 54 - 1000 Brussel,Morris,Bruxelles - Brussel,Rue T'Kint 54 - 1000 Bruxelles,Lucky Luke,1993,Lucky Luke,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/lucky-luke/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/14_lucky_luke_rue_buanderie_03-768x1152.jpg,"Dupuis, Dargaud","[50.84742282479087, 4.34136532900553]"
60.0,https://www.parcoursbd.brussels/fresques/victor-sackville/,Kolenmarkt 60 - 1000 Brussel,Francis Carin,Bruxelles - Brussel,Rue du Marché au Charbon 60 - 1000 Bruxelles,Victor Sackville,1992,Victor Sackville,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/victor-sackville/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/18_victor_sackville_rue_marche_charbons_01-683x1024.jpg,Le Lombard,"[50.846224788965884, 4.348803189824008]"
45.0,https://www.parcoursbd.brussels/fresques/broussaille/,Kolenmarkt 39 - 1000 Brussel,Frank Pé,Bruxelles - Brussel,Rue du Marché au Charbon 39 - 1000 Bruxelles,Ragebol,1991,Broussaille,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/broussaille/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/19_broussaille_rue_marche_charbons_01_vb-1-685x1024.jpg,Dupuis,"[50.84650780513225, 4.349303724769508]"
33.0,https://www.parcoursbd.brussels/fresques/odilon-verjus/,Kapucijnenstraat 13 - 1000 Brussel,Verron et Yann,Bruxelles - Brussel,Rue des Capucins 13 - 1000 Bruxelles,Govert Suurbier,2004,Odilon Verjus,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/odilon-verjus/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/23_odilon_verjus_rue_capucins_05-768x1024.jpg,Le Lombard,"[50.838509467301954, 4.3462442795863065]"
56.0,https://www.parcoursbd.brussels/fresques/le-petit-jojo/,Pieremansstraat 43 - 1000 Brussel,André Geerts,Bruxelles - Brussel,Rue Pieremans 43 - 1000 Bruxelles,Jojo,1996,Le petit Jojo,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/le-petit-jojo/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/25_petit_jojo_rue_pieremans_04_vb-685x1024.jpg,Dupuis,"[50.83574388868448, 4.344524802874058]"
105.0,https://www.parcoursbd.brussels/fresques/parchis/,Verhoevenstraat 2 - 1020 Laken,Peter Willems,Laeken - Laken,Rue Verhoeven 2 - 1020 Laeken,Parchis,2016,Parchis,Clear Channel,https://www.parcoursbd.brussels/nl/stripmuren/parchis/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/47_parchis_rue_verhoeven-768x512.jpg,-,"[50.87011472345073, 4.342749983730376]"
171.0,https://www.parcoursbd.brussels/fresques/tour-a-plomb/,Slachthuisstraat 22 - 1000 Brussel,Zidrou et divers,Bruxelles - Brussel,Rue de l'Abattoir 22 - 1000 Bruxelles,Hageltoren,2018,Tour à Plomb,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/tour-a-plomb/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/66_tour_plomb_rue_abattoir_02-768x512.jpg,"Dupuis, Le Lombard, Bamboo, Kramiek","[50.84787994337469, 4.339529696668767]"
37.5,https://www.parcoursbd.brussels/fresques/tamara/,Terplaststraat 26 - 1020 Laken,Christian Darasse,Laeken - Laken,Rue de Ter Plast 26 - 1020 Laeken,Tamara,2019,Tamara,Atelier30,https://www.parcoursbd.brussels/nl/stripmuren/tamara/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/67_tamara_rue_ter_plast_01-768x1024.jpg,Dupuis,"[50.88196812153067, 4.344162776954897]"
90.0,https://www.parcoursbd.brussels/fresques/vandergoten/,Emile Bockstaellaan 304 - 1020 Laken,Emilie Plateau,Laeken - Laken,Bd Emile Bockstael 304 - 1020 Laeken,Vandergoten,2022,Vandergoten,Atelier 30,https://www.parcoursbd.brussels/nl/stripmuren/vandergoten/,https://www.parcoursbd.brussels/wp-content/uploads/2022/10/20221026_160343-768x1024.jpg,-,"[50.879604648489654, 4.347528937718659]"
